tubelet_id,video_id,track_id,start_time_sec,end_time_sec,pose_score,pose_score_smooth,pose_hit_raw,pose_hit_smooth,pose_persistent_hit,pose_valid_frame_ratio,pose_mean_keypoint_conf,pose_valid_keypoint_ratio_mean,pose_wrist_speed_p95,pose_ankle_speed_p95,pose_limb_speed_p95,pose_limb_accel_p95,pose_body_angle_change_p95,pose_crouch_change_p95,pose_arm_extension_change_p95,pose_asymmetry_motion_p95
pose__20260315_104219_tp00035.mp4__track1611__t20844_20913__00004876,20260315_104219_tp00035.mp4,1611,1459.0808611912062,1463.9108640420118,69.33052084819151,38.93534851360588,True,False,False,1.0,0.8504842519760132,0.8578431606292725,1.8636035919189453,2.0168542861938477,1.9509824514389038,8.882658958435059,0.7482941746711731,0.23485128581523895,0.7317270040512085,0.943914532661438
pose__20260316_113834_tp00042.mp4__track5__t36_105__00011174,20260316_113834_tp00042.mp4,5,2.5199756720619284,7.349929043513957,69.14225236479558,139.99540567741937,True,True,False,0.5,0.5485705733299255,0.21078431606292725,1.9042381048202515,0.0,0.8299997448921204,13.669951438903809,0.7234058976173401,0.2777232527732849,1.4772076606750488,0.0
pose__20260315_130536_tp00036.mp4__track6590__t39744_39813__00008263,20260315_130536_tp00036.mp4,6590,2782.0222624916723,2786.8521622529424,69.01241071415956,69.01241071415956,True,True,False,0.5833333134651184,0.7354596257209778,0.2647058963775635,0.7775318622589111,0.0,0.8248114585876465,2.656337022781372,0.0,0.0,0.8275138139724731,0.0
pose__20260315_104219_tp00035.mp4__track1287__t16884_16953__00004311,20260315_104219_tp00035.mp4,1287,1181.8806975797509,1186.7107004305565,68.99590707063284,38.86030432845946,True,False,False,1.0,0.7871542572975159,0.4901960790157318,0.35627755522727966,0.0,0.5807929039001465,2.1700661182403564,0.8830677270889282,0.41037267446517944,0.17325221002101898,0.32536816596984863
pose__20260315_130536_tp00036.mp4__track6590__t39726_39795__00008259,20260315_130536_tp00036.mp4,6590,2780.7622886409063,2785.5921884021764,67.83254689379218,67.83254689379218,True,True,False,0.625,0.7298083901405334,0.2867647111415863,0.7775318622589111,0.0,0.7509663701057434,1.744684100151062,0.0,0.0,0.8275138139724731,0.0
pose__20260315_130536_tp00036.mp4__track3553__t22842_22911__00007578,20260315_130536_tp00036.mp4,3553,1598.906816622252,1603.7367163835222,67.80407712358404,50.0117205503162,True,False,False,0.125,0.6951321363449097,0.0833333358168602,0.8790189027786255,0.0,0.8788002729415894,0.0,1.016424536705017,0.009294264018535614,0.10241180658340454,0.0
pose__20260315_104219_tp00035.mp4__track60__t504_573__00002967,20260315_104219_tp00035.mp4,60,35.280020823276146,40.11002367408181,67.41256805967194,39.58999940891522,True,False,False,0.5416666865348816,0.7724487781524658,0.37254902720451355,0.46495193243026733,1.9549530744552612,1.2381645441055298,1.717377781867981,0.3970479965209961,0.12072785943746567,0.2039654701948166,0.43288081884384155
pose__20260316_113834_tp00042.mp4__track7335__t38196_38265__00013857,20260316_113834_tp00042.mp4,7335,2673.694188057706,2678.524141429158,67.05372447040345,63.46955589496611,True,True,False,1.0,0.7364944815635681,0.4583333432674408,1.1950552463531494,0.0,1.090230107307434,3.806691884994507,0.0,0.0,0.7705516815185547,1.381574273109436
pose__20260316_113834_tp00042.mp4__track2076__t10530_10599__00011935,20260316_113834_tp00042.mp4,2076,737.092884078114,741.922837449566,66.96884067391204,68.63964171357685,True,True,True,1.0,0.7932056784629822,0.5049019455909729,1.3273462057113647,0.0,1.771934986114502,5.825286388397217,0.0,0.0,2.1330459117889404,1.6685068607330322
pose__20260315_104219_tp00035.mp4__track1325__t13986_14055__00003956,20260315_104219_tp00035.mp4,1325,979.020577845913,983.8505806967188,66.66986363169512,36.397174429928434,True,False,False,0.9583333134651184,0.816071093082428,0.34558823704719543,0.0,0.0,1.205349326133728,1.7150264978408813,0.0,0.0,0.0,0.0
